DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),WIND_DIR(deg),WIND_SPEED(kt),SLP(hPa),MSLP(hPa),SUNSHINE,
2017-01-19,06:00:00,0,0,47.6,9.9,50.2,,35.5,52,138,1,1015.3,1016.6,00.37,
2017-01-19,07:00:00,,0,,,,,,,000,0,960.0,961.7,00.00,
2017-01-19,08:00:00,5,5,28.4,28.0,28.5,,17.3,51,243,1,1013.4,1014.8,00.29,
2017-01-19,09:00:00,0,5,27.9,27.9,28.5,,19.4,60,290,2,1012.3,1013.7,01.29,
2017-01-19,10:00:00,,5,27.5,27.6,27.9,,21.8,71,324,2,1011.6,1013.0,02.29,
2017-01-19,11:00:00,0,5,27.0,27.0,27.6,,22.4,76,306,2,1011.4,1012.8,03.29,
2017-01-19,12:00:00,0,5,26.2,26.2,27.0,50.2,21.6,76,314,2,1011.6,1013.0,04.29,
2017-01-19,13:00:00,0,5,25.4,25.4,26.2,,22.9,86,328,2,1011.9,1013.3,05.29,
2017-01-19,14:00:00,0,5,24.8,24.8,25.4,,21.3,81,354,2,1012.9,1014.3,06.29,
2017-01-19,15:00:00,0,5,24.8,24.7,24.9,,19.8,74,350,2,1014.1,1015.5,07.29,
2017-01-19,16:00:00,0,5,24.7,24.7,24.9,,19.1,71,357,1,1015.2,1016.6,08.29,
2017-01-19,17:00:00,0,5,23.5,23.5,24.7,,18.4,73,333,1,1015.3,1016.7,09.29,
2017-01-19,18:00:00,0,5,22.1,22.1,23.5,,17.0,73,340,1,1014.7,1016.1,10.29,
2017-01-19,19:00:00,0,5,23.0,22.0,23.0,,17.0,69,153,1,1014.7,1016.1,11.29,
2017-01-19,20:00:00,0,5,14.7,22.0,23.1,,12.7,88,192,44,1014.3,1015.7,12.29,
2017-01-19,21:00:00,0,5,21.6,21.6,22.4,,19.3,87,125,1,1013.4,1014.8,01.00,
2017-01-19,22:00:00,0,5,21.2,21.2,21.6,,18.7,86,356,1,1013.0,1014.4,02.00,
2017-01-19,23:00:00,0,5,20.7,20.7,21.3,,19.1,91,000,1,1013.1,1014.5,03.00,
2017-01-20,00:00:00,0,5,22.4,20.7,22.5,,18.6,79,054,1,1013.2,1014.6,04.00,
2017-01-20,01:00:00,0,5,21.8,21.7,22.4,,20.1,90,049,1,1013.8,1015.2,05.00,
2017-01-20,02:00:00,0,5,21.9,21.8,22.1,,20.3,91,000,0,1014.7,1016.1,06.00,
2017-01-20,03:00:00,0,5,22.5,21.9,22.5,20.7,20.2,87,187,1,1015.8,1017.2,07.00,
2017-01-20,04:00:00,0,0,24.6,22.5,24.5,,20.1,76,000,0,1016.7,1018.1,08.00,
2017-01-20,05:00:00,0,0,25.6,24.6,25.6,,19.5,69,000,0,1016.8,1018.2,09.00,
2017-01-20,06:00:00,0,0,28.5,25.6,28.6,,16.8,49,006,1,1016.3,1017.7,10.00,
2017-01-20,07:00:00,0,0,29.0,28.5,29.4,,17.3,49,110,1,1014.4,1015.8,11.00,
2017-01-20,08:00:00,0,0,28.7,28.7,29.6,,16.7,48,298,2,1013.6,1015.0,12.00,
2017-01-20,09:00:00,0,0,28.7,27.8,28.7,,19.7,58,293,2,1012.5,1013.9,13.00,
2017-01-20,10:00:00,0,0,27.8,27.8,28.1,,18.8,58,314,2,1011.6,1013.0,14.00,
2017-01-20,11:00:00,0,0,27.1,27.1,27.9,,19.7,64,335,2,1011.5,1012.9,15.00,
2017-01-20,12:00:00,0,0,26.3,26.3,27.1,29.6,19.9,68,316,2,1011.7,1013.1,16.00,
2017-01-20,13:00:00,0,0,25.6,25.6,26.3,,21.0,76,323,2,1012.2,1013.6,17.00,
2017-01-20,14:00:00,0,0,25.1,25.1,25.6,,21.2,79,332,2,1012.5,1013.9,18.00,
2017-01-20,15:00:00,0,0,24.1,24.1,25.1,,20.8,82,080,1,1013.1,1014.5,19.00,
2017-01-20,16:00:00,0,0,22.7,22.7,24.1,,19.6,83,004,1,1013.9,1015.3,20.00,
2017-01-20,17:00:00,0,0,22.8,22.5,22.8,,17.5,72,346,1,1014.2,1015.6,00.31,
2017-01-20,18:00:00,0,0,24.2,22.8,24.2,,17.0,64,347,2,1013.8,1015.2,01.31,
2017-01-20,19:00:00,0,0,24.2,23.8,24.4,,16.2,61,343,2,1013.6,1015.0,02.31,
2017-01-20,20:00:00,0,0,23.1,23.2,37.3,,16.6,67,109,1,1013.3,1014.7,03.31,
2017-01-20,21:00:00,0,0,22.0,21.9,23.1,,21.5,97,115,1,1013.1,1014.5,01.00,
2017-01-20,22:00:00,0,0,21.5,21.5,22.1,,20.6,95,093,1,1013.0,1014.4,02.00,
2017-01-20,23:00:00,0,0,20.4,20.5,21.5,,19.0,92,104,1,1012.7,1014.1,03.00,
2017-01-21,00:00:00,0,0,20.4,20.0,20.5,,19.0,92,099,1,1013.1,1014.5,04.00,
2017-01-21,01:00:00,0,0,21.2,20.4,21.5,,17.4,79,000,0,1013.8,1015.2,05.00,
2017-01-21,02:00:00,0,0,22.3,21.1,22.2,,18.3,78,055,1,1014.3,1015.7,06.00,
2017-01-21,03:00:00,0,0,23.0,22.3,23.0,20.0,20.7,87,148,2,1015.1,1016.5,07.00,
2017-01-21,04:00:00,0,0,24.7,23.0,24.6,,20.2,76,153,3,1015.9,1017.3,08.00,
2017-01-21,05:00:00,0,0,26.9,24.7,27.1,,19.3,63,152,3,1016.0,1017.4,09.00,
2017-01-21,06:00:00,0,0,30.1,26.9,30.1,,16.9,45,122,2,1015.5,1016.9,10.00,
2017-01-21,07:00:00,0,0,29.4,29.5,32.1,,17.0,47,265,1,1014.6,1016.0,11.00,
2017-01-21,08:00:00,0,0,28.8,28.6,29.4,,18.6,54,330,1,1013.5,1014.9,12.00,
2017-01-21,09:00:00,0,0,28.9,28.6,29.0,,17.8,51,309,2,1012.6,1014.0,13.00,
2017-01-21,10:00:00,0,0,28.5,28.6,28.9,,18.6,55,312,3,1011.9,1013.3,14.00,
2017-01-21,11:00:00,0,0,27.5,27.5,2.9,,20.8,67,323,3,1012.1,1013.5,15.00,
2017-01-21,12:00:00,0,0,26.6,26.6,27.5,32.1,21.8,75,341,2,1012.5,1013.9,16.00,
2017-01-21,13:00:00,0,0,26.0,26.0,26.6,,20.1,70,331,2,1013.0,1014.4,17.00,
2017-01-21,14:00:00,0,0,25.7,25.7,26.1,,19.6,69,343,2,1013.9,1015.3,18.00,
2017-01-21,15:00:00,0,0,25.9,25.7,25.9,,16.2,55,357,3,1014.6,1016.0,19.00,
2017-01-21,16:00:00,0,0,24.1,24.1,26.0,,16.4,62,123,1,1015.5,1016.9,20.00,
2017-01-21,17:00:00,0,0,23.4,23.3,24.1,,15.7,62,057,1,1015.9,1017.3,00.31,
2017-01-21,18:00:00,0,0,23.7,23.4,24.3,,16.7,65,053,1,1015.9,1017.3,01.31,
